Jaroslaw Kaczynski
Antoni Macierewicz
Beata Szydlo
Mariusz Kaminski
Adam Lipinski
Joahim Brudzinski
Ryszard Terlecki
Krystyna Pawłowicz
Patryk Jaki
Marek Kuchcinski
